linie,cl_von,cl_bis,n_von,n_bis,z_von,z_bis,d_z,tau_z,w_von,w_bis,d_von,d_bis,b_von,b_bis,min_anteil,d_beitrag,w_quer,d2_quer,bei_position,bei_anteil,rest,treiber,woerter_von,woerter_bis
0,0,6,30,48,0.33660288343544076,0.08408295019452262,-0.25251993324091815,0.055555555555555566,0.002741979709350151,0.0024821594787465093,0.29482793389365264,0.13119549631060307,2.3834250234165073e-4,4.2723569971294965e-5,0.9230769230769231,-1.9561893237035578e-4,0.0026120695940483303,0.05206788442809274,-1.8209064263120494e-4,-1.3528289739150818e-5,-2.202285662861181e-20,Position,"deck, card, jpg, cardname, cards, type, decks","txt, cardname, deck, cards, decks, mana, commander"
1,1,0,139,185,0.27255312932108505,0.24673907225872882,-0.025814057062356233,-0.11111111111111113,0.0127045059866557,0.009566656324335504,0.23077817977929693,0.2938516183748092,6.766237993284091e-4,8.260690412646853e-4,0.9726775956284153,1.4944524193627614e-4,0.011135581155495601,0.06980367094187001,3.684786672299329e-4,-2.1903342529365683e-4,5.421010862427522e-20,Position,"lane, team, riot, play, game, adc, damage","adc, riot, game, lane, jinx, champ, champs"
2,2,48,72,322,0.4833657693110138,-0.7855654223364528,-1.2689311916474666,-0.055555555555555566,0.006580751302440362,0.0166511531699245,0.4415908197692257,-0.7384528762203724,0.0012832626406654682,0.00908008446727693,0.8538681948424068,0.007796821826611461,0.01161595223618243,0.3701575512512987,0.0040691865312270275,0.003727635295384434,0,Position,"bitcoin, btc, ethereum, eth, blockchain, wallet, fork","tip, donut, bitcoin, crypto, tipped, btc, wallet"
4,4,4,74,113,0.1732751539866402,0.6425754103326161,0.46930025634597594,0.11111111111111113,0.006763549949730372,0.005843417106215741,0.13150020444485208,0.6896879564486965,1.1695736028779858e-4,0.002779535160386433,0.9340659340659341,0.0026625778000986342,0.006303483527973056,0.2464808905197085,0.002889372962764552,-2.2679516266591789e-4,1.3552527156068805e-19,Position,"sydney, melbourne, imagesofnetwork, afl, australia, brisbane, year","australia, sydney, year, melbourne, brisbane, work, years"
5,5,72,65,105,0.5299138752660325,0.8974094410690022,0.3674955658029697,0,0.005940956036925326,0.00542972385975799,0.4881389257242444,0.9445219871850826,0.0014156086923013671,0.004843974937893579,0.7207207207207207,0.003428366245592212,0.005685339948341658,0.5652006975416384,0.0037173150287329207,-2.8894878314070915e-4,3.7947076036992655e-19,Position,"japanese, japan, tokyo, song, kpop, babymetal, kanji","kpop, hybe, song, bts, group, songs, idols"
7,7,18,60,111,1.6474866896563862,1.5472167064645743,-0.1002699831918119,-0.1666666666666667,0.005483959418700302,0.005739993794601303,1.6057117401145982,1.5943292525806547,0.014139348463624081,0.014590408521326774,0.9384615384615385,4.51060057702693e-4,0.005611976606650802,2.5600979789881197,-2.0441303059294367e-4,6.554730882956369e-4,-3.2526065174565133e-19,Anteil,"gun, barrel, rifle, glock, ammo, trigger, mags","transaction, confirm, reply, barrel, gun, trade, flairs"
10,10,17,55,69,-0.547007185977861,-0.5322776501312663,0.014729535846594755,0.1666666666666667,0.005026962800475277,0.0035681042506981076,-0.5887821355196491,-0.48516510401518587,0.0017426690586682492,8.398788547228546e-4,0.9444444444444444,-9.027902039453945e-4,0.004297533525586692,0.2910247906305723,-4.7822619993687353e-4,-4.2456400400852094e-4,-5.421010862427522e-20,Position,"bike, bikes, ride, riding, motorcycle, road, helmet","bike, bikes, riding, ride, motorcycle, engine, rider"
11,11,75,40,113,0.5912098408912205,-0.16716605779988386,-0.7583758986911044,-0.3333333333333334,0.003655972945800201,0.005843417106215741,0.5494348913494325,-0.12005351168380343,0.0011036603594997264,8.422026892337798e-5,0.794392523364486,-0.0010194400905763484,0.004749695026007971,0.1581457727498879,-0.0013653751376724935,3.459350470961453e-4,-2.710505431213761e-19,Position,"race, car, racing, cars, driver, drivers, nascar","race, car, cars, racing, races, max, ferrari"
12,12,31,281,348,0.31425255004874447,0.12620210545332863,-0.18805044459541584,-0.3333333333333334,0.025683209944246412,0.017995656220912194,0.27247760050695635,0.17331465156940906,0.0019068253377777175,5.405529537760746e-4,0.6482558139534884,-0.001366272384001643,0.021839433082579303,0.05214100561332708,-9.6543560216052e-4,-4.00836781841123e-4,0,Position,"car, cars, engine, miles, drive, tires, driving","car, engine, miles, cars, oil, drive, truck"
13,13,41,46,58,0.46289756965714585,0.826730358875682,0.3638327892185362,0.27777777777777785,0.004204368887670232,0.002999276036818699,0.4211226201153577,0.8738429049917624,7.456206940818846e-4,0.0022902514484981723,0.8507462686567164,0.0015446307544162876,0.003601822462244465,0.4704728418886331,0.0021115942126960826,-5.669634582797952e-4,2.168404344971009e-19,Position,"god, church, jesus, christian, bible, faith, believe","god, jesus, church, bible, sin, christian, christ"
