linie,cl_2016,cl_2024,mean_z_2016,mean_z_2024,d_z,mean_pct_2016,mean_pct_2024,d_pct,min_jacc,merge_n,n_alt,n_gemeinsam,anteil_alt,woerter_2024
0,0,6,0.33660288343544076,0.08408295019452262,-0.25251993324091815,0.6097851597761329,0.5579205232202078,-0.0518646365559251,0.7142857142857143,1,30,27,0.9,"txt, cardname, deck, cards, decks, mana"
1,1,0,0.27255312932108505,0.24673907225872882,-0.025814057062356233,0.5847084744192369,0.6061541834412497,0.021445709022012815,0.7666666666666667,1,139,136,0.9784172661870504,"adc, riot, game, lane, jinx, champ"
2,2,48,0.4833657693110138,-0.7855654223364528,-1.2689311916474666,0.6546425013206021,0.3055970813676008,-0.3490454199530013,0.30434782608695654,1,72,60,0.8333333333333334,"tip, donut, bitcoin, crypto, tipped, btc"
3,3,10,0.0028231937715489978,-2.229207447508076,-2.232030641279625,0.5063513095740106,0.03511238939141656,-0.47123892018259406,0.3,1,1662,2,0.0012033694344163659,"kinks, hai, wanna, sex, looking, chat"
4,4,4,0.1732751539866402,0.6425754103326161,0.46930025634597594,0.5474652301696895,0.7131405207394153,0.16567529056972574,0.5,1,74,70,0.9459459459459459,"australia, sydney, year, melbourne, brisbane, work"
5,5,72,0.5299138752660325,0.8974094410690022,0.3674955658029697,0.6687377616065104,0.7820091880479443,0.11327142644143384,0.5833333333333334,1,65,37,0.5692307692307692,"kpop, hybe, song, bts, group, songs"
6,6,40,-0.04044531134158778,-0.200250930986412,-0.15980561964482423,0.4886261057952699,0.47955758123937564,-0.009068524555894242,0.475,1,154,111,0.7207792207792207,"canada, pay, canadian, tax, toronto, year"
7,7,18,1.6474866896563862,1.5472167064645743,-0.1002699831918119,0.9248480471805982,0.8848422728548911,-0.040005774325707066,0.5263157894736842,1,60,57,0.95,"transaction, confirm, reply, barrel, gun, trade"
8,8,101,0.7239599647329941,-1.1079303967779064,-1.8318903615109003,0.7257753913112689,0.23707005927826116,-0.4887053320330077,0.22727272727272727,5,62,0,0,"san, area, bay, city, parking, beach"
10,10,17,-0.547007185977861,-0.5322776501312663,0.014729535846594755,0.3136371842636511,0.3480707561080624,0.03443357184441126,0.6774193548387096,1,55,50,0.9090909090909091,"bike, bikes, riding, ride, motorcycle, engine"
11,11,75,0.5912098408912205,-0.16716605779988386,-0.7583758986911044,0.6919901305891557,0.47098623160151315,-0.22100389898764256,0.5945945945945946,1,40,35,0.875,"race, car, cars, racing, races, max"
12,12,31,0.31425255004874447,0.12620210545332863,-0.18805044459541584,0.5983239305800324,0.5655829268088596,-0.03274100377117284,0.7575757575757576,1,281,239,0.8505338078291815,"car, engine, miles, cars, oil, drive"
13,13,41,0.46289756965714585,0.826730358875682,0.3638327892185362,0.6149503782140343,0.6947558044044502,0.07980542619041586,0.6571428571428571,1,46,40,0.8695652173913043,"god, jesus, church, bible, sin, christian"
14,14,45,-0.2763461305029271,-0.6372634099388059,-0.3609172794358788,0.4126659799142621,0.3285627337445096,-0.08410324616975251,0.3333333333333333,1,85,63,0.7411764705882353,"hai, emote, bhai, img, bhi, toh"
16,16,173,-0.190874122743187,0.17909979818177868,0.36997392092496567,0.43962904191332275,0.5928956127243644,0.15326657081104167,0.45,1,38,36,0.9473684210526315,"minecraft, server, java, purpose, bedrock, rules"
17,17,20,0.8260080103788018,1.4475757506498925,0.6215677402710907,0.7299442866056638,0.8868054456868764,0.15686115908121256,0.30952380952380953,2,95,71,0.7473684210526316,"car, pay, london, work, year, years"
18,18,117,0.1924858725599249,0.5256356387909293,0.33314976623100445,0.5654463938901563,0.6831689603771622,0.11772256648700596,0.7142857142857143,1,44,34,0.7727272727272727,"bottle, wine, bottles, bourbon, beer, whiskey"
19,19,120,-0.17520767467072892,-0.32750207630402745,-0.15229440163329852,0.44576661982118476,0.4158979652009061,-0.029868654620278656,0.2765957446808511,1,102,68,0.6666666666666666,"art, drawing, painting, draw, artist, paint"
20,20,82,0.7141300986675615,0.5823915407837756,-0.13173855788378586,0.695902023323622,0.7134399919671321,0.017537968643510093,0.5,2,51,10,0.19607843137254902,"batch, yvl, size, shipping, pandabuy, link"
21,21,50,0.060983904097606706,-0.22732007204119264,-0.2883039761387993,0.5183940450234005,0.46255200866127216,-0.05584203636212831,0.2571428571428571,2,52,51,0.9807692307692307,"song, album, music, songs, band, guitar"
22,22,50,-0.2821575111460719,-0.22732007204119264,0.05483743910487926,0.4138407910117605,0.46255200866127216,0.04871121764951164,0.40476190476190477,2,660,626,0.9484848484848485,"song, album, music, songs, band, guitar"
23,23,147,-0.16848944301384142,0.5020308321627701,0.6705202751766115,0.4510621652524523,0.6743784404546356,0.22331627520218328,0.4827586206896552,1,170,78,0.4588235294117647,"sober, drinking, dose, alcohol, weed, drink"
24,24,91,-0.5372278965380985,0.17562779581066976,0.7128556923487683,0.3241339789587897,0.5874220070496979,0.26328802809090823,0.3333333333333333,1,67,41,0.6119402985074627,"usd, boost, loan, referral, borrower, lender"
26,26,181,0.5164653981510763,1.2830117920967217,0.7665463939456454,0.6587597094387145,0.833627663760351,0.1748679543216365,0.47368421052631576,1,218,154,0.7064220183486238,"anime, manga, sukuna, gojo, luffy, naruto"
28,28,66,0.38857074969586225,1.2044091802122303,0.8158384305163681,0.6100880624260295,0.7945432519565012,0.18445518953047169,0.2727272727272727,1,72,63,0.875,"army, chaos, paint, models, points, marines"
29,29,67,-0.8416712173765531,-0.9053473353163953,-0.06367611793984218,0.24444760880381283,0.27556207336758703,0.031114464563774202,0.7142857142857143,1,71,63,0.8873239436619719,"players, spell, campaign, character, spells, party"
30,30,136,-0.5184858005579116,1.0318047747312287,1.5502905752891403,0.3700272967288674,0.79197470584888,0.42194740912001255,0.5384615384615384,1,39,15,0.38461538461538464,"trump, joe, rogan, comedy, funny, tony"
31,31,116,0.3239845796341033,0.2511024547265845,-0.07288212490751883,0.6087228175256382,0.6112854694763579,0.0025626519507196965,0.5,1,34,33,0.9705882352941176,"jedi, wars, godzilla, lego, star, sith"
33,33,121,-0.5101669117494197,-0.980609299730484,-0.4704423879810643,0.3570199193596919,0.2401636218670919,-0.11685629749260001,0.46153846153846156,1,65,43,0.6615384615384615,"book, books, read, writing, story, reading"
34,34,101,-1.1207357319740403,-1.1079303967779064,0.012805335196133916,0.17395839602014002,0.23707005927826116,0.06311166325812115,0.1891891891891892,5,30,0,0,"san, area, bay, city, parking, beach"
35,35,135,-0.40750459199875944,-0.8429254204160598,-0.43542082841730034,0.36718044773424807,0.27293912711893786,-0.09424132061531021,0.2564102564102564,1,64,15,0.234375,"movie, horror, movies, film, films, halloween"
36,36,148,-0.22893284880723114,-0.7324909081618034,-0.5035580593545723,0.4307794604971997,0.3108758444160907,-0.119903616081109,0.43333333333333335,1,183,131,0.7158469945355191,"show, season, episode, character, episodes, scene"
37,37,149,-0.08011507553836454,-0.30085852318760664,-0.22074344764924209,0.46454918415498875,0.4375328031313421,-0.027016381023646674,0.5,1,87,63,0.7241379310344828,"batman, superman, marvel, comics, spider, movie"
38,38,36,1.1305168214326085,0.7381118188708352,-0.39240500256177324,0.8358777908166336,0.7350420063353817,-0.10083578448125186,0.6896551724137931,1,32,29,0.90625,"army, military, claim, recruiter, navy, duty"
39,39,112,-0.2313913016114411,-0.237703191102301,-0.0063118894908598955,0.4117403194853998,0.4456398701193654,0.0338995506339656,0.8181818181818182,1,45,41,0.9111111111111111,"lens, camera, lenses, photography, film, photos"
40,40,150,-0.2082712168224375,-0.3685018934371344,-0.16023067661469692,0.41905595656187516,0.4020764724234756,-0.01697948413839956,0.7647058823529411,1,53,43,0.8113207547169812,"apple, iphone, pro, ipad, ios, macbook"
42,42,193,0.7825535878824421,0.1746231430642149,-0.6079304448182272,0.731147239827317,0.5774026184120822,-0.15374462141523482,0.2682926829268293,1,38,1,0.02631578947368421,"tanks, tier, tank, game, gaijin, planes"
